Date,Description,Amount,Type
2024-01-01,Opening Balance,50000.00,Credit
2024-01-03,SWIGGY ORDER,-320.00,Debit
2024-01-05,NETFLIX SUBSCRIPTION,-649.00,Debit
2024-01-06,SALARY CREDIT,45000.00,Credit
2024-01-08,UBER RIDE,-180.00,Debit
2024-01-10,AMAZON PURCHASE,-2399.00,Debit
2024-01-12,ELECTRICITY BILL,-1200.00,Debit
2024-01-15,ATM WITHDRAWAL,-2000.00,Debit
2024-01-18,GROCERY STORE,-850.00,Debit
2024-01-20,FRIEND TRANSFER,500.00,Credit
2024-01-22,GYM MEMBERSHIP,-999.00,Debit
2024-01-25,ZOMATO ORDER,-450.00,Debit
